age_rating,app_rating,category,compatibility,languages,name,price,rank,rating_count,size
4+,4.7,"
                  Photo & Video
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Portuguese, Russian, Spanish, Ukrainian",Presets for Lightroom - FLTR,Free,44,627 Ratings,61.4 MB
4+,4.8,"
                  Productivity
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Indonesian",Indonesia Calendar 2020 - 2021,Free,47,34 Ratings,66.9 MB
4+,4.1,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,AlkitabPlus,Free,57,7 Ratings,50.6 MB
4+,5.0,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Audio - Sheikh Saad Al Ghamdi,Free,,1 Rating,461.5 MB
4+,2.3,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bulgarian, Chinese, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovenian, Spanish, Swedish, Thai, Turkish, Ukrainian, Vietnamese",Mercedes-Benz Guides,Free,,3 Ratings,54.6 MB
4+,5.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"iQuran Arabic lite (Koran) HD, alQuran",Free,,1 Rating,24.6 MB
4+,4.0,"
                  Reference
                ","Requires iOS 12.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Azerbaijani, Bosnian, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Malay, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swahili, Traditional Chinese, Turkish, Urdu",Saad Al Ghamdi Offline,Free,,10 Ratings,603.2 MB
4+,4.4,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Simplified Chinese",Maps & Mods FREE - Map Seed & Mod for MineCraft PC Edition,Free,186,48 Ratings,46.2 MB
4+,5.0,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"DVO: Daily Devotionals, Bible Verses and Quotes",Free,,5 Ratings,82.2 MB
4+,4.7,"
                  Reference
                ","Requires iOS 9.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Speak & Translate: Translator,Rp 299ribu,8,459 Ratings,85.6 MB
4+,3.7,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quotes Quote of the Day,Free,,9 Ratings,53.6 MB
4+,4.7,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Pro Guide For Clash Royale - Strategy Help,Free,,23 Ratings,46.8 MB
4+,2.0,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Web Browsers Shortcuts,Free,120,1 Rating,11.3 MB
4+,5.0,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Ya-Seen Memorizer,Free,,4 Ratings,59.3 MB
12+,4.0,"
                  Reference
                ","Requires iOS 3.1.3 or later. Compatible with iPhone, iPad and iPod touch.","English, Spanish",My Chinese Library: Mandarin Phrase Books,Free,,8 Ratings,13.7 MB
4+,4.5,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Al Mathurat Sughra,Free,,12 Ratings,67.3 MB
17+,4.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Bible from eBible.com with NIV NKJV KJV ESV NLT Amplified Message Chinese Spanish,Free,,8 Ratings,109.1 MB
4+,4.6,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Mactracker,Free,,16 Ratings,160.5 MB
9+,4.7,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Vietnamese",Korean Dictionary - Dict Box,Free,,23 Ratings,145.4 MB
4+,2.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Indonesian Japanese dictionary,Free,,1 Rating,34.4 MB
4+,3.0,"
                  Reference
                ","Requires iOS 12.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Azerbaijani, Bosnian, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Malay, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swahili, Traditional Chinese, Turkish, Urdu",Audio MP3 Tawfeeq Al Sadegh,Free,,2 Ratings,620 MB
4+,5.0,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Simplified Chinese, Traditional Chinese",Oxford Learner’s Academic Dict,Free,,1 Rating,63.1 MB
4+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Text Art: Add Hype to Photos,Free,24,107 Ratings,31.4 MB
4+,4.8,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Audio - Sheikh Sudays & Shuraym,Free,,4 Ratings,606.8 MB
4+,5.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"Guidecraft - Furniture, Guides, + for Minecraft",Free,,1 Rating,87.8 MB
4+,5.0,"
                  Reference
                ","Requires iOS 8.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,CmdRef,Free,,2 Ratings,47.6 MB
4+,3.2,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Al Quran Digital,Rp 15ribu,7,17 Ratings,166.6 MB
4+,5.0,"
                  Reference
                ","Requires iOS 11.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Tuntunan Sholat Lengkap,Free,29,3 Ratings,38.5 MB
17+,1.0,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Pascal Programming Language,Free,181,1 Rating,838.7 KB
9+,5.0,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Italian, Japanese, Polish, Portuguese, Russian, Simplified Chinese, Spanish",Dictionary Linguee,Free,115,37 Ratings,54.3 MB
4+,4.9,"
                  Reference
                ","Requires iOS 13.2 and watchOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.",English,BrainyQuote - Famous Quotes,Free,,9 Ratings,125.6 MB
4+,2.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",French Indonesian dictionary,Free,,4 Ratings,34.4 MB
4+,4.6,"
                  Reference
                ",Requires iOS 3.2 or later. Compatible with iPad.,"English, Arabic",iQuran HD,Rp 29ribu,,342 Ratings,78.2 MB
4+,3.6,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Kamus Lengkap Pro,Rp 59ribu,9,5 Ratings,16.7 MB
9+,4.7,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Vietnamese",Dictionary Offline - Dict Box,Free,,178 Ratings,90.5 MB
4+,4.7,"
                  Reference
                ","Requires iOS 7.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Tuntunan Hadits Shahih Terlengkap,Free,,6 Ratings,51.9 MB
4+,4.2,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Al Kareem -- القران الكريم,Free,74,67 Ratings,222.6 MB
4+,4.9,"
                  Reference
                ","Requires iOS 12.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Spanish, Swedish",Ancestry,Free,,31 Ratings,233.6 MB
4+,4.5,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran dalam bahasa indonesia - Dengarkan dan baca,Free,,63 Ratings,20.6 MB
4+,2.3,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,WolframAlpha Viewer,Free,108,3 Ratings,17.6 MB
4+,4.9,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Ukrainian",The One Bible App,Free,,180 Ratings,99.2 MB
4+,4.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Audio - multi reciter and language,Free,198,4 Ratings,36.5 MB
4+,4.3,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Dikir Syarafil Anam & Diba'e,Free,161,7 Ratings,152 MB
4+,3.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Manasik Haji dan Umrah,Free,,1 Rating,57.3 MB
4+,4.5,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Fake Text Me,Free,,275 Ratings,34 MB
4+,4.0,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,MovP4,Free,133,4 Ratings,17.7 MB
4+,4.7,"
                  Reference
                ","Requires iOS 12.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Japanese,Free,96,51 Ratings,260 MB
4+,4.9,"
                  Reference
                ","Requires iOS 11.2 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Logos Bible Study Tools,Free,,108 Ratings,174.3 MB
4+,4.9,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Korean, Spanish",Daily Bible Inspirations,Free,,171 Ratings,46.2 MB
12+,4.8,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",Zombies Photos Blend Camera HD,Free,,4 Ratings,47.6 MB
4+,4.4,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic",Hadith حديث‎ - Sahih Bukhari,Free,,11 Ratings,299.7 MB
4+,4.8,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Chinese, Simplified Chinese",百度翻译-英语学习必备,Free,155,55 Ratings,218.3 MB
4+,5.0,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Simplified Chinese",Animated 3D Emoji Emoticons - SMS WhatsApp Smiley Faces Stickers - Animoticons  Free,Free,,3 Ratings,46.7 MB
4+,2.0,"
                  Reference
                ","Requires iOS 7.1 or later. Compatible with iPhone, iPad and iPod touch.","English, German",Mobile Net Check,Free,,2 Ratings,16.7 MB
4+,5.0,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Servers for Minecraft - McPedia Community,Free,,1 Rating,30.8 MB
4+,1.8,"
                  Reference
                ","Requires iOS 7.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Home Designs - Interior 3D,Free,85,5 Ratings,7.5 MB
17+,4.1,"
                  Reference
                ","Requires iOS 11.3 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Irish, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese",Yahoo Search,Free,103,20 Ratings,129 MB
4+,4.7,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Logolab: Logo Creator & Maker,Free,41,72 Ratings,149 MB
4+,3.5,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Doa Islam Sehari hari,Free,,2 Ratings,60.5 MB
4+,4.8,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Danish, Dutch, Finnish, French, German, Greek, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",iTranslate Voice,Free,68,148 Ratings,57.6 MB
4+,4.8,"
                  Reference
                ","Requires iOS 11.4 or later. Compatible with iPhone, iPad and iPod touch.","English, Simplified Chinese, Traditional Chinese",Chinese calendar 农历 - 万年历 2018,Free,64,389 Ratings,43.1 MB
4+,5.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Best Guide for Clash Royale - Deck Builder & Tips,Free,,2 Ratings,59.5 MB
4+,4.9,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Japanese",Shirabe Jisho,Free,61,199 Ratings,190.1 MB
4+,5.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Al-Kahf (Surah 18),Free,,4 Ratings,12.7 MB
4+,5.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",My Data Usage- Cellular Widget,Free,106,4 Ratings,18.8 MB
4+,4.5,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Indonesian, Malay",Quran Bahasa Melayu,Free,,2 Ratings,22.1 MB
4+,4.3,"
                  Reference
                ",Requires iOS 9.0 or later. Compatible with iPhone and iPad.,English,Star Tracker Lite-Live Sky Map,Free,,6 Ratings,47 MB
4+,4.3,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Ratib Al-Attas,Free,89,18 Ratings,71 MB
4+,4.9,"
                  Reference
                ","Requires iOS 10.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Afrikaans, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian",MyHeritage,Free,114,102 Ratings,279.2 MB
4+,5.0,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Audio - Sheikh Mahir Al Muayqali,Free,,1 Rating,666.4 MB
4+,5.0,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Al Quran MP3 - Quran Reading-Tafseer-Meaning,Free,,6 Ratings,305.1 MB
4+,4.6,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Quran Reading® – Quran MP3,Free,,9 Ratings,43.3 MB
4+,4.4,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Lagu Sion - SDA,Free,94,17 Ratings,26.5 MB
4+,4.3,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Translate.com,Free,,4 Ratings,53 MB
4+,3.7,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,English Dictionary - Offline,Free,,13 Ratings,92.7 MB
4+,4.8,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, French, Indonesian, Malay, Russian, Turkish",Hijab Style With Step by Step Tutorial,Free,,5 Ratings,22.7 MB
4+,4.8,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Insta Story Editor & Collage,Free,104,153 Ratings,178.4 MB
17+,5.0,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Korean",다음 - Daum,Free,125,3 Ratings,55.4 MB
12+,3.8,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,wikiHow,Free,113,12 Ratings,34.8 MB
4+,4.1,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Al Quran - Offline Translation,Free,,8 Ratings,70.5 MB
4+,4.6,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,CPGpray,Free,172,16 Ratings,33.3 MB
4+,5.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Multi Lang Dictionary and Translator + Text to Speech with English Spanish Chinese French German Korean Russian and more!,Free,,2 Ratings,7.5 MB
4+,5.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",Photo Editor - Pic Grid Camera,Free,,2 Ratings,41.3 MB
4+,4.7,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Indonesian, Italian, Portuguese, Russian, Spanish",Kamus Alkitab Bahasa Indonesia,Free,93,108 Ratings,22.3 MB
17+,5.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,DSLR Camera Effect : Blur Image & Focus Effect,Free,139,1 Rating,9 MB
4+,4.7,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",掌上素描 - 手机修图绘画板,Free,167,108 Ratings,56.4 MB
4+,3.0,"
                  Reference
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Tajweed Quran with Tafsir and Audio (القران الكريم تجويد),Free,,2 Ratings,197.6 MB
17+,5.0,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.",English,C++ Programming Language Pro,Free,,1 Rating,777.2 KB
4+,4.7,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone 5S, iPhone 6, iPhone 6 Plus, iPhone 6S, iPhone 6S Plus, iPhone SE, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, iPhone XR, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro (12.9-inch), iPad Pro (12.9-inch) Wi-Fi + Cellular, iPad Pro (9.7‑inch), iPad Pro (9.7-inch) Wi‑Fi + Cellular, iPad (5th generation), iPad (5th generation) Wi‑Fi + Cellular, iPad Pro (12.9‑inch) (2nd generation), iPad Pro (12.9‑inch) (2nd generation) Wi‑Fi + Cellular, iPad Pro (10.5‑inch), iPad Pro (10.5-inch) Wi‑Fi + Cellular, iPad (6th generation), iPad Wi-Fi + Cellular (6th generation), iPad Pro (11-inch), iPad Pro (11-inch) Wi-Fi + Cellular, iPad Pro (12.9-inch) (3rd generation), iPad Pro (12.9-inch) (3rd generation) Wi-Fi + Cellular, iPad mini (5th generation), iPad mini (5th generation) Wi-Fi + Cellular, iPad Air (3rd generation), iPad Air (3rd generation) Wi-Fi + Cellular, iPad (7th generation), iPad (7th generation) Wi-Fi + Cellular and iPod touch.","English, Arabic",iQuran Pro,Rp 45ribu,3,873 Ratings,209 MB
4+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Vietnamese",Translator - Translate Box,Free,175,207 Ratings,53 MB
4+,3.0,"
                  Reference
                ","Requires iOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,SSF4 DB - A Super Street Fighter 4 Information Database,Free,,4 Ratings,16.2 MB
4+,5.0,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"Voice Changer, Sound Maker and Player",Free,,1 Rating,32.6 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Ayat Ruqya,Free,183,37 Ratings,73.4 MB
12+,4.0,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Norwegian Bokmål, Polish, Russian, Simplified Chinese, Spanish, Swedish, Ukrainian",Wikipanion,Free,,1 Rating,7.5 MB
4+,2.8,"
                  Reference
                ","Requires iOS 4.3 or later. Compatible with iPhone, iPad and iPod touch.",English,IQ Smart Test for Intelligence Quotient HD Lite,Free,,8 Ratings,10.7 MB
